Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
dainty-gold-scribble-wave-crystal-necklace,Dainty Gold Scribble Wave Crystal Necklace,"<p>A loose, hand-drawn squiggle caught in gold and half-set with crystals — like a signature only you could write. Equal parts playful and refined.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Pavé-set 5A clear zircon</li><li>Adjustable cable chain</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Necklaces,"Necklaces, Gold, Clear, Pendant, New",FALSE,Title,Default Title,shopify,100,deny,manual,64.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_01_W.jpg,1,Dainty Gold Scribble Wave Crystal Necklace,draft
dainty-gold-scribble-wave-crystal-necklace,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_01_ON_01.jpg,2,Dainty Gold Scribble Wave Crystal Necklace,
dainty-gold-scribble-wave-crystal-necklace,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_01_ON_02.jpg,3,Dainty Gold Scribble Wave Crystal Necklace,
lucky-gold-gourd-pink-crystal-necklace,Lucky Gold Gourd & Pink Crystal Necklace,"<p>The wu lu gourd — an age-old emblem of luck and protection — traced in pavé crystal around a glowing pink stone, with a tiny crystal drifting on the chain. A small charm to carry good fortune close.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>5A pink & clear zircon</li><li>Adjustable cable chain</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Necklaces,"Necklaces, Gold, Pink, Pendant, New",FALSE,Title,Default Title,shopify,100,deny,manual,64.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_02_W.jpg,1,Lucky Gold Gourd & Pink Crystal Necklace,draft
lucky-gold-gourd-pink-crystal-necklace,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_02_ON_01.jpg,2,Lucky Gold Gourd & Pink Crystal Necklace,
lucky-gold-gourd-pink-crystal-necklace,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_02_ON_02.jpg,3,Lucky Gold Gourd & Pink Crystal Necklace,
lucky-gold-gourd-pink-crystal-necklace,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_02_ON_03.jpg,4,Lucky Gold Gourd & Pink Crystal Necklace,
romantic-gold-heart-tag-pendant-necklace,Romantic Gold Heart Tag Pendant Necklace,"<p>A little engraved tag with a sunburst glow and a rosy heart at its centre — like a love note you can wear. Keepsake energy, everyday wear.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Heart-cut 5A pink zircon on an engraved tag</li><li>Adjustable cable chain</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Necklaces,"Necklaces, Gold, Pink, Heart, Pendant, New",FALSE,Title,Default Title,shopify,100,deny,manual,64.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_03_W.jpg,1,Romantic Gold Heart Tag Pendant Necklace,draft
romantic-gold-heart-tag-pendant-necklace,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_03_ON_01.jpg,2,Romantic Gold Heart Tag Pendant Necklace,
romantic-gold-heart-tag-pendant-necklace,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_03_ON_02.jpg,3,Romantic Gold Heart Tag Pendant Necklace,
dainty-gold-love-knot-crystal-necklace,Dainty Gold Love-Knot Crystal Necklace,"<p>A soft love knot tied in gold, with a single crystal where the loops meet. The simplest way to keep someone — or something — close.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Round-cut 5A clear zircon</li><li>Adjustable cable chain</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Necklaces,"Necklaces, Gold, Clear, Pendant, Dainty, New",FALSE,Title,Default Title,shopify,100,deny,manual,54.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_04_W.jpg,1,Dainty Gold Love-Knot Crystal Necklace,draft
dainty-gold-love-knot-crystal-necklace,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_04_ON.jpg,2,Dainty Gold Love-Knot Crystal Necklace,
dainty-gold-crystal-halo-flower-necklace,Dainty Gold Crystal Halo Flower Necklace,"<p>A tiny blossom of crystals — one round centre ringed by a halo of sparkle. Petite enough for every day, bright enough to notice.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Halo-set 5A clear zircon</li><li>Adjustable cable chain</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Necklaces,"Necklaces, Gold, Clear, Floral, Dainty, New",FALSE,Title,Default Title,shopify,100,deny,manual,54.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_05_W.jpg,1,Dainty Gold Crystal Halo Flower Necklace,draft
dainty-gold-crystal-halo-flower-necklace,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_05_ON_01.jpg,2,Dainty Gold Crystal Halo Flower Necklace,
dainty-gold-crystal-halo-flower-necklace,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_05_ON_02.jpg,3,Dainty Gold Crystal Halo Flower Necklace,
